X,Y,VX,VY
6.968274194926889E+07,1.302289445514605E+08,-2.674669244849918E+01,1.395235070224822E+01
6.736112233551994E+07,1.314143694216624E+08,-2.699316104485938E+01,1.348720470279424E+01
6.501855813461805E+07,1.325593913024513E+08,-2.723149046838679E+01,1.301712083592088E+01
6.265576037324311E+07,1.336635900833962E+08,-2.746150088651832E+01,1.254225199910070E+01
6.027345544603752E+07,1.347265593842089E+08,-2.768301608519068E+01,1.206276337863736E+01
5.787238485839755E+07,1.357479077064868E+08,-2.789586248536716E+01,1.157883477344642E+01
5.545330496913461E+07,1.367272598342792E+08,-2.809987020280709E+01,1.109066386015345E+01
5.301698654340477E+07,1.376642585187983E+08,-2.829487638180765E+01,1.059846931854012E+01
5.056421392615195E+07,1.385585663872271E+08,-2.848073056392603E+01,1.010249271976454E+01
4.809578368837377E+07,1.394098679278190E+08,-2.865730136563963E+01,9.602998287362283E+00
4.561250267761755E+07,1.402178713449258E+08,-2.882448340170331E+01,9.100270102373599E+00
4.311518549918416E+07,1.409823100657667E+08,-2.898220338073114E+01,8.594606908376567E+00
4.060465153424399E+07,1.417029437153940E+08,-2.913042465238398E+01,8.086315114651027E+00
3.808172164086171E+07,1.423795584336590E+08,-2.926915000599026E+01,7.575700650521114E+00
3.554721468433999E+07,1.430119664510307E+08,-2.939842284706232E+01,7.063059957329422E+00
3.300194403617359E+07,1.436000048420070E+08,-2.951832668824044E+01,6.548669887709437E+00
3.044671421575889E+07,1.441435333432895E+08,-2.962898213411533E+01,6.032776117262442E+00
2.788231796162680E+07,1.446424311123254E+08,-2.973053960116512E+01,5.515580369203462E+00
2.530953419155708E+07,1.450965923951798E+08,-2.982316573211878E+01,4.997228457113968E+00
2.272912744340554E+07,1.455059213371259E+08,-2.990702281174987E+01,4.477803211930580E+00
2.014184931923179E+07,1.458703265720518E+08,-2.998224374072224E+01,3.957327179393378E+00
1.754844206668115E+07,1.461897165821351E+08,-3.004890887382536E+01,3.435777859669365E+00
1.494964379891107E+07,1.464639968569888E+08,-3.010703242846883E+01,2.913113271825628E+00
1.234619428431685E+07,1.466930694580152E+08,-3.015656322039882E+01,2.389300585548497E+00
9.738840075227262E+06,1.468768348703061E+08,-3.019739851671651E+01,1.864339144324082E+00
7.128338087486547E+06,1.470151953861043E+08,-3.022940477542741E+01,1.338272420364731E+00
4.515457360611977E+06,1.471080590183955E+08,-3.025243792391002E+01,8.111887009885691E-01
1.900979276433691E+06,1.471553431110720E+08,-3.026635823712304E+01,2.832141550948046E-01
-7.143032104408472E+05,1.471569771905366E+08,-3.027103834358305E+01,-2.454970643705442E-01
-3.329586768582700E+06,1.471129049699914E+08,-3.026636538748818E+01,-7.747720734463787E-01
-5.944058892625031E+06,1.470230856582167E+08,-3.025223938685325E+01,-1.304425903661977E+00
-8.556898874447761E+06,1.468874948334067E+08,-3.022856982307266E+01,-1.834264894988027E+00
-1.116727846441785E+07,1.467061251618570E+08,-3.019527211932648E+01,-2.364086954280660E+00
-1.377436227128261E+07,1.464789872121991E+08,-3.015226530546293E+01,-2.893679194880839E+00
-1.637730805015087E+07,1.462061105588585E+08,-3.009947192015741E+01,-3.422813762570512E+00
-1.897526710891688E+07,1.458875452842316E+08,-3.003682095740698E+01,-3.951243008337491E+00
-2.156738511629742E+07,1.455233638705803E+08,-2.996425422330615E+01,-4.478695591384520E+00
-2.415280359473546E+07,1.451136633212021E+08,-2.988173567634209E+01,-5.004875385374257E+00
-2.673066229892559E+07,1.446585671920011E+08,-2.978926224268383E+01,-5.529464874191416E+00
-2.930010250530067E+07,1.441582271033499E+08,-2.968687362043745E+01,-6.052133796435085E+00
-3.186027100417645E+07,1.436128233003751E+08,-2.957465831507998E+01,-6.572552258053644E+00
-3.441032437546580E+07,1.430225639657278E+08,-2.945275396784816E+01,-7.090406025324396E+00
-3.694943302916635E+07,1.423876832231141E+08,-2.932134168367108E+01,-7.605411060829611E+00
-3.947678453942610E+07,1.417084380073006E+08,-2.918063566168651E+01,-8.117324932198725E+00
-4.199158595184129E+07,1.409851041261396E+08,-2.903087012593907E+01,-8.625954047399171E+00
-4.449306490639465E+07,1.402179718765044E+08,-2.887228518042242E+01,-9.131156817225321E+00
-4.698046952286624E+07,1.394073415475790E+08,-2.870511238036583E+01,-9.632843141555234E+00
-4.945306704021080E+07,1.385535191281630E+08,-2.852956039018703E+01,-1.013097012644564E+01
-5.191014124706575E+07,1.376568125695382E+08,-2.834580156351941E+01,-1.062553338384519E+01
-5.435098885709010E+07,1.367175290092883E+08,-2.815396134131990E+01,-1.111655350048705E+01
-5.677491518391733E+07,1.357359733457388E+08,-2.795411307528819E+01,-1.160405862004026E+01
-5.918122968133703E+07,1.347124483896628E+08,-2.774628028429474E+01,-1.208806595638667E+01
-6.156924200774252E+07,1.336472565181343E+08,-2.753044631325845E+01,-1.256856617131167E+01
-6.393825916256502E+07,1.325407024284668E+08,-2.730656890424522E+01,-1.304551393996782E+01
-6.628758395372719E+07,1.313930963875563E+08,-2.707459575438616E+01,-1.351882590318481E+01
-6.861651471693347E+07,1.302047573754737E+08,-2.683447744074774E+01,-1.398838479831200E+01
-7.092434595776141E+07,1.289760156995568E+08,-2.658617567730150E+01,-1.445404708813107E+01
